# Tabulated cross section values for the elastic scattering between Ar+ ions and Ar atoms
#    eV                m**2
0.0163850191	1.02073635844E-018
0.0191499235	1.00111123855E-018
0.0235754774	9.62814600611E-019
0.0282792097	9.44345061029E-019
0.0366719569	9.08300662416E-019
0.0451468589	8.73554412178E-019
0.0585456129	8.40211998751E-019
0.0720755243	7.9232288749E-019
0.1010449638	7.62182546431E-019
0.1121144006	7.47462079509E-019
0.153144562	7.18996322989E-019
0.1836996599	6.91461026529E-019
0.271274254	6.52252996621E-019
0.3610456167	6.15158863065E-019
0.4330807186	5.91600214539E-019
0.5472036483	5.68994340858E-019
0.6913995931	5.47252269306E-019
0.8293462622	5.26294229617E-019
1.075480917	4.96341418396E-019
1.4313841625	4.77417933447E-019
1.7169710782	4.5913432905E-019
2.1137636902	4.41570545437E-019
2.4704525892	4.24640918153E-019
3.1214519868	4.08414793281E-019
3.9439989857	3.85153705055E-019
4.983298819	3.7043644196E-019
5.9775566688	3.49307357095E-019
6.9862446867	3.35915061291E-019
8.1651446446	3.23036220423E-019
9.542979105	3.1682538596E-019
10.8671930336	3.04664900144E-019
12.7009870081	2.8727455334E-019
16.0478777469	2.81788840986E-019
20.8105915014	2.60572566958E-019
25.6199264188	2.50604590504E-019
34.0981939719	2.31746517175E-019
44.2179082416	2.185572035E-019
55.8699560304	2.02092749321E-019
78.3258635781	1.86901812557E-019
98.9658427587	1.72822037196E-019
115.665920282	1.66196113646E-019
157.995820347	1.50701419439E-019
194.508709256	1.3934251873E-019
227.331251186	1.34000185708E-019
265.692461604	1.26351422426E-019
310.526967961	1.21507162521E-019
392.355241036	1.12353727733E-019
470.637176857	1.05945256052E-019
594.656767427	9.60550303246E-020
695.002642722	9.0572185767E-020
878.14572498	8.37491592158E-020
1109.54961449	7.59309885874E-020
1476.72703496	6.61914999444E-020
