# Tabulated cross section values for the charge exchange scattering between Ar+ ions and Ar atoms
#    eV                m**2
0.0163850191	9.25078402616E-019
0.0207027047	9.0741337116E-019
0.0248332671	8.90006585716E-019
0.0268468852	8.90125208883E-019
0.0330512096	8.73088845861E-019
0.0366719569	8.56226382222E-019
0.0428601983	8.39764202482E-019
0.0541544702	8.23728306486E-019
0.0702265169	8.0803452338E-019
0.0842379716	7.77089344052E-019
0.0934662089	7.62080973633E-019
0.1092382459	7.62284132766E-019
0.1344832424	7.4769455696E-019
0.1789870748	7.33481963245E-019
0.2382183265	7.05517271246E-019
0.2857471722	6.91983430817E-019
0.3803079816	6.65600909527E-019
0.4561862723	6.52832779155E-019
0.5616110781	6.40338024364E-019
0.767142152	6.159518959E-019
1.0478907991	5.80948042047E-019
1.2569638831	5.69803795948E-019
1.6729243325	5.58972648692E-019
2.16941738	5.48323026187E-019
2.8132603951	5.2739426345E-019
3.9439989857	4.97445138743E-019
5.387372129	4.78500830276E-019
7.5527278774	4.51328215723E-019
10.588408787	4.34159474839E-019
13.035393732	4.17551082508E-019
17.8059165674	4.01649396288E-019
25.6199264188	3.86387626259E-019
36.8630633093	3.6446203271E-019
44.2179082416	3.50504283834E-019
54.4366821803	3.43795881285E-019
70.5924841534	3.24229538827E-019
80.388120269	3.17981634502E-019
98.9658427587	3.05817524202E-019
138.743354203	2.88451072185E-019
189.518831575	2.72058722001E-019
233.316699317	2.61651352696E-019
294.798968345	2.51653287647E-019
344.545077589	2.46814892406E-019
424.16956458	2.37373203801E-019
522.195298146	2.28292698765E-019
677.173219104	2.15299951127E-019
812.281470336	2.07054640556E-019
1109.54961449	1.95287958083E-019
1476.72703496	1.84181780517E-019
